product_id,attribute_name,value,confidence_score,confidence_percentage,decision,source_confidence,evidence_confidence,extraction_confidence,lov_confidence,uom_confidence,validation_confidence,reason_codes,evidence_id,source_id,status,created_at
PROD-0001,grit,P120,0.8639,86,REVIEW_RECOMMENDED,1.0,0.4,0.9875,1.0,,1.0,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|PARTIAL_EVIDENCE|DIRECT_SPECIFICATION_MATCH|LOV_VALID|VALIDATION_PASS,EV-8c459152,SRC-edb68817,unverified,2026-08-16T12:53:07.465229+00:00
PROD-0059,length,12 ft,1.0,100,AUTO_APPROVE,1.0,1.0,1.0,,1.0,1.0,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|EVIDENCE_GROUNDED|EXACT_MPN_MATCH|MANUFACTURER_VERIFIED|DIRECT_SPECIFICATION_MATCH|UOM_VALID|VALIDATION_PASS,EV-f0919316,SRC-91e9ed85,verified,2026-08-16T12:53:07.467037+00:00
PROD-0060,length,12 ft,1.0,100,AUTO_APPROVE,1.0,1.0,1.0,,1.0,1.0,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|EVIDENCE_GROUNDED|EXACT_MPN_MATCH|MANUFACTURER_VERIFIED|DIRECT_SPECIFICATION_MATCH|UOM_VALID|VALIDATION_PASS,EV-1b85daaa,SRC-2f6b0536,verified,2026-08-16T12:53:07.467129+00:00
PROD-0100,color,Slate Gray,1.0,100,AUTO_APPROVE,1.0,1.0,1.0,,,1.0,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|EVIDENCE_GROUNDED|EXACT_MPN_MATCH|MANUFACTURER_VERIFIED|DIRECT_SPECIFICATION_MATCH|VALIDATION_PASS,EV-ab7eb9ec,SRC-1bdd3b7b,verified,2026-08-16T12:53:07.468255+00:00
PROD-0100,edge_profile,Grooved,1.0,100,AUTO_APPROVE,1.0,1.0,1.0,,,1.0,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|EVIDENCE_GROUNDED|EXACT_MPN_MATCH|MANUFACTURER_VERIFIED|DIRECT_SPECIFICATION_MATCH|VALIDATION_PASS,EV-d4b82edc,SRC-1bdd3b7b,verified,2026-08-16T12:53:07.468388+00:00
PROD-0100,length,12 ft,1.0,100,AUTO_APPROVE,1.0,1.0,1.0,,1.0,1.0,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|EVIDENCE_GROUNDED|EXACT_MPN_MATCH|MANUFACTURER_VERIFIED|DIRECT_SPECIFICATION_MATCH|UOM_VALID|VALIDATION_PASS,EV-400de24f,SRC-1bdd3b7b,verified,2026-08-16T12:53:07.468436+00:00
PROD-0100,material,PVC,1.0,100,AUTO_APPROVE,1.0,1.0,1.0,1.0,,1.0,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|EVIDENCE_GROUNDED|EXACT_MPN_MATCH|MANUFACTURER_VERIFIED|DIRECT_SPECIFICATION_MATCH|LOV_VALID|VALIDATION_PASS,EV-31610d38,SRC-1bdd3b7b,verified,2026-08-16T12:53:07.468462+00:00
PROD-0100,width_profile,1x6,1.0,100,AUTO_APPROVE,1.0,1.0,1.0,,1.0,1.0,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|EVIDENCE_GROUNDED|EXACT_MPN_MATCH|MANUFACTURER_VERIFIED|DIRECT_SPECIFICATION_MATCH|UOM_VALID|VALIDATION_PASS,EV-f34f0792,SRC-1bdd3b7b,verified,2026-08-16T12:53:07.468484+00:00
PROD-0101,color,Slate Gray,1.0,100,AUTO_APPROVE,1.0,1.0,1.0,,,1.0,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|EVIDENCE_GROUNDED|EXACT_MPN_MATCH|MANUFACTURER_VERIFIED|DIRECT_SPECIFICATION_MATCH|VALIDATION_PASS,EV-42c8e172,SRC-48394ba8,verified,2026-08-16T12:53:07.468792+00:00
PROD-0101,edge_profile,Grooved,1.0,100,AUTO_APPROVE,1.0,1.0,1.0,,,1.0,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|EVIDENCE_GROUNDED|EXACT_MPN_MATCH|MANUFACTURER_VERIFIED|DIRECT_SPECIFICATION_MATCH|VALIDATION_PASS,EV-f7577a10,SRC-48394ba8,verified,2026-08-16T12:53:07.468863+00:00
