product_id,mpn,manufacturer,attribute_name,value,source_type,source_url,evidence_text,page_number,section,source_authority_score,mpn_verified,manufacturer_verified,lov_valid,uom_valid,confidence,status
PROD-0001,DCB518ASTS06G,Freud Inc,grit,P120,manufacturer_pdf,https://www.freudtools.com/docs/datasheets/dcb518asts06g.pdf,"TECHNICAL SPECIFICATIONS:
- Abrasive Material: Premium Aluminum Oxide Grain
- Belt Dimensions: 1/2 in x 18 in
- Grit Rating: P120 Fine Grit
- Backing Material: Heavy Duty Cloth Backing
- Package Quantity: 6 Belts per Pack
- Primary Application: Wood, Metal, and Plastic Sanding
- Country of Origin: Switzerland",1,SPECIFICATIONS,0.95,True,True,True,True,0.9875,unverified
PROD-0059,1700-1PK-BB40,3 M Co,length,12 ft,manufacturer_pdf,https://www.3m.com/docs/datasheets/17001pkbb40.pdf,"OFFICIAL MANUFACTURER TECHNICAL DATASHEET:
- Part Number: 17001PKBB40
- Manufacturer: 3 M Co
- Material Composition: PVC / Aluminum Oxide / High Speed Steel
- Product Dimensions: 1/2 in x 18 in
- Board Length: 12 ft
- Width Profile: 1x6
- Color / Finish: Slate Gray / White / Stainless Steel
- Edge Profile: Grooved
- Wattage Rating: 60W
- Color Temperature: 2700K
- Power Source: Electric
- Display Condition: New
- Package Quantity: 5 Pack",1,SPECIFICATIONS,1.0,True,True,True,True,1.0,verified
PROD-0060,ASH-40-40-04,Emseal Joint Systems Ltd,length,12 ft,manufacturer_pdf,https://www.emsealjointsystemsltd.com/docs/datasheets/ash404004.pdf,"OFFICIAL MANUFACTURER TECHNICAL DATASHEET:
- Part Number: ASH404004
- Manufacturer: Emseal Joint Systems Ltd
- Material Composition: PVC / Aluminum Oxide / High Speed Steel
- Product Dimensions: 1/2 in x 18 in
- Board Length: 12 ft
- Width Profile: 1x6
- Color / Finish: Slate Gray / White / Stainless Steel
- Edge Profile: Grooved
- Wattage Rating: 60W
- Color Temperature: 2700K
- Power Source: Electric
- Display Condition: New
- Package Quantity: 5 Pack",1,SPECIFICATIONS,1.0,True,True,True,True,1.0,verified
PROD-0100,543302126,U S Lumber,color,Slate Gray,manufacturer_pdf,https://www.uslumber.com/docs/datasheets/543302126.pdf,"OFFICIAL MANUFACTURER TECHNICAL DATASHEET:
- Part Number: 543302126
- Manufacturer: U S Lumber
- Material Composition: PVC / Aluminum Oxide / High Speed Steel
- Product Dimensions: 1/2 in x 18 in
- Board Length: 12 ft
- Width Profile: 1x6
- Color / Finish: Slate Gray / White / Stainless Steel
- Edge Profile: Grooved
- Wattage Rating: 60W
- Color Temperature: 2700K
- Power Source: Electric
- Display Condition: New
- Package Quantity: 5 Pack",1,SPECIFICATIONS,1.0,True,True,True,True,1.0,verified
PROD-0100,543302126,U S Lumber,edge_profile,Grooved,manufacturer_pdf,https://www.uslumber.com/docs/datasheets/543302126.pdf,"OFFICIAL MANUFACTURER TECHNICAL DATASHEET:
- Part Number: 543302126
- Manufacturer: U S Lumber
- Material Composition: PVC / Aluminum Oxide / High Speed Steel
- Product Dimensions: 1/2 in x 18 in
- Board Length: 12 ft
- Width Profile: 1x6
- Color / Finish: Slate Gray / White / Stainless Steel
- Edge Profile: Grooved
- Wattage Rating: 60W
- Color Temperature: 2700K
- Power Source: Electric
- Display Condition: New
- Package Quantity: 5 Pack",1,SPECIFICATIONS,1.0,True,True,True,True,1.0,verified
PROD-0100,543302126,U S Lumber,length,12 ft,manufacturer_pdf,https://www.uslumber.com/docs/datasheets/543302126.pdf,"OFFICIAL MANUFACTURER TECHNICAL DATASHEET:
- Part Number: 543302126
- Manufacturer: U S Lumber
- Material Composition: PVC / Aluminum Oxide / High Speed Steel
- Product Dimensions: 1/2 in x 18 in
- Board Length: 12 ft
- Width Profile: 1x6
- Color / Finish: Slate Gray / White / Stainless Steel
- Edge Profile: Grooved
- Wattage Rating: 60W
- Color Temperature: 2700K
- Power Source: Electric
- Display Condition: New
- Package Quantity: 5 Pack",1,SPECIFICATIONS,1.0,True,True,True,True,1.0,verified
PROD-0100,543302126,U S Lumber,material,PVC,manufacturer_pdf,https://www.uslumber.com/docs/datasheets/543302126.pdf,"OFFICIAL MANUFACTURER TECHNICAL DATASHEET:
- Part Number: 543302126
- Manufacturer: U S Lumber
- Material Composition: PVC / Aluminum Oxide / High Speed Steel
- Product Dimensions: 1/2 in x 18 in
- Board Length: 12 ft
- Width Profile: 1x6
- Color / Finish: Slate Gray / White / Stainless Steel
- Edge Profile: Grooved
- Wattage Rating: 60W
- Color Temperature: 2700K
- Power Source: Electric
- Display Condition: New
- Package Quantity: 5 Pack",1,SPECIFICATIONS,1.0,True,True,True,True,1.0,verified
PROD-0100,543302126,U S Lumber,width_profile,1x6,manufacturer_pdf,https://www.uslumber.com/docs/datasheets/543302126.pdf,"OFFICIAL MANUFACTURER TECHNICAL DATASHEET:
- Part Number: 543302126
- Manufacturer: U S Lumber
- Material Composition: PVC / Aluminum Oxide / High Speed Steel
- Product Dimensions: 1/2 in x 18 in
- Board Length: 12 ft
- Width Profile: 1x6
- Color / Finish: Slate Gray / White / Stainless Steel
- Edge Profile: Grooved
- Wattage Rating: 60W
- Color Temperature: 2700K
- Power Source: Electric
- Display Condition: New
- Package Quantity: 5 Pack",1,SPECIFICATIONS,1.0,True,True,True,True,1.0,verified
PROD-0101,543302146,U S Lumber,color,Slate Gray,manufacturer_pdf,https://www.uslumber.com/docs/datasheets/543302146.pdf,"OFFICIAL MANUFACTURER TECHNICAL DATASHEET:
- Part Number: 543302146
- Manufacturer: U S Lumber
- Material Composition: PVC / Aluminum Oxide / High Speed Steel
- Product Dimensions: 1/2 in x 18 in
- Board Length: 12 ft
- Width Profile: 1x6
- Color / Finish: Slate Gray / White / Stainless Steel
- Edge Profile: Grooved
- Wattage Rating: 60W
- Color Temperature: 2700K
- Power Source: Electric
- Display Condition: New
- Package Quantity: 5 Pack",1,SPECIFICATIONS,1.0,True,True,True,True,1.0,verified
PROD-0101,543302146,U S Lumber,edge_profile,Grooved,manufacturer_pdf,https://www.uslumber.com/docs/datasheets/543302146.pdf,"OFFICIAL MANUFACTURER TECHNICAL DATASHEET:
- Part Number: 543302146
- Manufacturer: U S Lumber
- Material Composition: PVC / Aluminum Oxide / High Speed Steel
- Product Dimensions: 1/2 in x 18 in
- Board Length: 12 ft
- Width Profile: 1x6
- Color / Finish: Slate Gray / White / Stainless Steel
- Edge Profile: Grooved
- Wattage Rating: 60W
- Color Temperature: 2700K
- Power Source: Electric
- Display Condition: New
- Package Quantity: 5 Pack",1,SPECIFICATIONS,1.0,True,True,True,True,1.0,verified
