source_id,product_row_id,manufacturer,brand,mpn,source_url,source_domain,source_type,authority_level,identity_verified,mpn_verified,retrieval_status,content_hash,discovered_at
SRC-2052de5e,1,Freud Inc,Diablo,DCB518ASTS06G,https://www.freudtools.com/products/dcb518asts06g,freudtools.com,manufacturer_product_page,1.0,True,True,success,2f48b6967ab27c479f795833904e1b8a2ea53f340157de09c1edc8c194366325,2026-08-16T12:00:00Z
SRC-edb68817,1,Freud Inc,Diablo,DCB518ASTS06G,https://www.freudtools.com/docs/datasheets/dcb518asts06g.pdf,freudtools.com,manufacturer_pdf,1.0,True,True,success,9d2e8c8d623fd8886f1bf95cc8e6cf012037d3122c95c5cc2e0b7898d55e84c2,2026-08-16T12:00:00Z
SRC-9043b3c3,1,Freud Inc,Diablo,DCB518ASTS06G,https://www.freudtools.com/catalogs/specifications.pdf,freudtools.com,manufacturer_catalog,0.95,True,True,success,db711007cf61f5e6e1974bbe04887cfae501f3425aeee97b6a88e8b91080d607,2026-08-16T12:00:00Z
SRC-47ca13b4,1,Freud Inc,Diablo,DCB518ASTS06G,https://www.industrialdistributor.com/p/dcb518asts06g,industrialdistributor.com,distributor_product_page,0.4,True,True,success,3186034dd78668d506d7f538d2b4f5c7d3ed4f54df0aafac9033d63e64a7a28e,2026-08-16T12:00:00Z
SRC-550281b9,2,Jam Industrial Supply LLC,3M,775L,https://www.3m.com/products/775l,3m.com,manufacturer_product_page,1.0,True,True,success,596c0652b38f06b4903f9ce00b318bcf98e06d6cccf49917f686ea9c3130999a,2026-08-16T12:00:00Z
SRC-435fd18d,2,Jam Industrial Supply LLC,3M,775L,https://www.3m.com/docs/datasheets/775l.pdf,3m.com,manufacturer_pdf,1.0,True,True,success,0b3ca2dee8158127b06eebbde92c43d0003ac4a19fac05ac34a77096a8fac648,2026-08-16T12:00:00Z
SRC-396dea73,2,Jam Industrial Supply LLC,3M,775L,https://www.3m.com/catalogs/specifications.pdf,3m.com,manufacturer_catalog,0.95,True,True,success,355934c754ae620e1f605028663daa6ab48639620e39d6b14aa94a5a89ac9029,2026-08-16T12:00:00Z
SRC-d8d36796,2,Jam Industrial Supply LLC,3M,775L,https://www.industrialdistributor.com/p/775l,industrialdistributor.com,distributor_product_page,0.4,True,True,success,4ad592344cd81f04b475e5c0bcca2cbf135518507aec1f0e53c75024e89ffa60,2026-08-16T12:00:00Z
SRC-a95ad350,8,Mirka Abrasives Inc,HIOLIT,5B-332-080,https://www.mirkaabrasivesinc.com/products/5b332080,mirkaabrasivesinc.com,manufacturer_product_page,1.0,True,True,success,b55df440ac47859019c8f091a35963d99eda8946e9410c8030afcf9b2d9362ed,2026-08-16T12:00:00Z
SRC-fe0bd5e8,8,Mirka Abrasives Inc,HIOLIT,5B-332-080,https://www.mirkaabrasivesinc.com/docs/datasheets/5b332080.pdf,mirkaabrasivesinc.com,manufacturer_pdf,1.0,True,True,success,24fc6ceeba431a3b081b55d16f8ced10e267d6938eb1888f0a4ac954def1e3a8,2026-08-16T12:00:00Z
SRC-9d1d3dec,8,Mirka Abrasives Inc,HIOLIT,5B-332-080,https://www.mirkaabrasivesinc.com/catalogs/specifications.pdf,mirkaabrasivesinc.com,manufacturer_catalog,0.95,True,True,success,d43984eb01ac63c94bb4cb8f3e41b96802069c506b9d47e157f654652b131515,2026-08-16T12:00:00Z
SRC-d8b3bacf,8,Mirka Abrasives Inc,HIOLIT,5B-332-080,https://www.industrialdistributor.com/p/5b332080,industrialdistributor.com,distributor_product_page,0.4,True,True,success,39a8989b500514a518b8ab7956c7cb9070faedbf68e6e03e253098f2653f3a36,2026-08-16T12:00:00Z
SRC-43b7b059,9,Mirka Abrasives Inc,HIOLIT,5B-332-120,https://www.mirkaabrasivesinc.com/products/5b332120,mirkaabrasivesinc.com,manufacturer_product_page,1.0,True,True,success,efd08772ba64153279a27443c22b6155f77f2b8022e54b0ae533114ed93d2ef2,2026-08-16T12:00:00Z
SRC-52d5b076,9,Mirka Abrasives Inc,HIOLIT,5B-332-120,https://www.mirkaabrasivesinc.com/docs/datasheets/5b332120.pdf,mirkaabrasivesinc.com,manufacturer_pdf,1.0,True,True,success,e8d0430d9cf71a3425b9395de731d17ebd0df11f656b6553ee58ce1a03372cff,2026-08-16T12:00:00Z
SRC-f0d9f868,9,Mirka Abrasives Inc,HIOLIT,5B-332-120,https://www.industrialdistributor.com/p/5b332120,industrialdistributor.com,distributor_product_page,0.4,True,True,success,f515885ba8478769f03333d927a176cbb1ecb125ee49151526b9dac7c61b708a,2026-08-16T12:00:00Z
SRC-2d97f09d,10,Mirka Abrasives Inc,Abranet,9A-570-240,https://www.mirkaabrasivesinc.com/products/9a570240,mirkaabrasivesinc.com,manufacturer_product_page,1.0,True,True,success,1c584b3bfff25d1f96e5c36211ec062bb01a66727fa7540a9933b7fb37433a02,2026-08-16T12:00:00Z
