product_id,mpn,product_name,brand,manufacturer,category,validation_status,confidence_score,energy_efficiency,renewable_ratio,technology_cost,emission_reduction
PROD-0001,MPN-0001,68.72700594236812,Unassigned Brand,Unassigned Manufacturer,Hardware & Industrial Supplies,needs_review,0.65,68.72700594236812,0.3736408184666985,7569.984798909733,0
PROD-0002,MPN-0002,97.53571532049581,Unassigned Brand,Unassigned Manufacturer,Hardware & Industrial Supplies,needs_review,0.65,97.53571532049581,0.3329120962314033,2660.607960388404,0
PROD-0003,MPN-0003,86.59969709057026,Unassigned Brand,Unassigned Manufacturer,Hardware & Industrial Supplies,needs_review,0.65,86.59969709057026,0.17615391250286005,4119.757249328975,0
PROD-0004,MPN-0004,79.93292420985183,Unassigned Brand,Unassigned Manufacturer,Hardware & Industrial Supplies,needs_review,0.65,79.93292420985183,0.6072666701014879,6969.525731720364,1
PROD-0005,MPN-0005,57.80093202212183,Unassigned Brand,Unassigned Manufacturer,Hardware & Industrial Supplies,needs_review,0.65,57.80093202212183,0.4766241605086289,5338.804100720319,0
PROD-0006,MPN-0006,57.79972601681013,Unassigned Brand,Unassigned Manufacturer,Hardware & Industrial Supplies,needs_review,0.65,57.79972601681013,0.8657009923240037,7647.139347714045,0
PROD-0007,MPN-0007,52.90418060840997,Unassigned Brand,Unassigned Manufacturer,Hardware & Industrial Supplies,needs_review,0.65,52.90418060840997,0.03210958048205825,9650.871111005737,0
PROD-0008,MPN-0008,93.30880728874675,Unassigned Brand,Unassigned Manufacturer,Hardware & Industrial Supplies,needs_review,0.65,93.30880728874675,0.6438679275551263,2048.9201894367775,1
PROD-0009,MPN-0009,80.05575058716045,Unassigned Brand,Unassigned Manufacturer,Hardware & Industrial Supplies,needs_review,0.65,80.05575058716045,0.7629488785115611,7386.1094475825485,0
PROD-0010,MPN-0010,85.40362888980228,Unassigned Brand,Unassigned Manufacturer,Hardware & Industrial Supplies,needs_review,0.65,85.40362888980228,0.759486569188307,3073.0974006890306,1
PROD-0011,MPN-0011,51.029224714790125,Unassigned Brand,Unassigned Manufacturer,Hardware & Industrial Supplies,needs_review,0.65,51.029224714790125,0.8860739670955251,4730.290546668123,0
PROD-0012,MPN-0012,98.49549260809971,Unassigned Brand,Unassigned Manufacturer,Hardware & Industrial Supplies,needs_review,0.65,98.49549260809971,0.7290337428294941,1295.7645321562584,1
PROD-0013,MPN-0013,91.62213204002109,Unassigned Brand,Unassigned Manufacturer,Hardware & Industrial Supplies,needs_review,0.65,91.62213204002109,0.9278100616476963,2223.1664406342907,1
PROD-0014,MPN-0014,60.61695553391381,Unassigned Brand,Unassigned Manufacturer,Hardware & Industrial Supplies,needs_review,0.65,60.61695553391381,0.33265659982089146,3877.9956014400973,0
PROD-0015,MPN-0015,59.09124836035503,Unassigned Brand,Unassigned Manufacturer,Hardware & Industrial Supplies,needs_review,0.65,59.09124836035503,0.5032094167515431,4077.8722475918644,0
PROD-0016,MPN-0016,59.17022549267169,Unassigned Brand,Unassigned Manufacturer,Hardware & Industrial Supplies,needs_review,0.65,59.17022549267169,0.014079663282890675,9096.266948158862,0
PROD-0017,MPN-0017,65.21211214797688,Unassigned Brand,Unassigned Manufacturer,Hardware & Industrial Supplies,needs_review,0.65,65.21211214797688,0.006957587303291213,7676.316183398636,0
PROD-0018,MPN-0018,76.2378215816119,Unassigned Brand,Unassigned Manufacturer,Hardware & Industrial Supplies,needs_review,0.65,76.2378215816119,0.2401266204515199,9749.646713683369,0
